Title,Content,Poetry Collection,URL,Writer
"Sau những tiếng nói, nụ cười…","(Sau những tiếng nói, nụ cười là một con người của riêng đơn côi)

Vì đã biết không ai mong chờ cả cuộc đời mình sẽ vui
những giấc mơ ngày ngày vẫn trả giá

không dám nhận mình đang đau hay bình yên dù ngàn lần muốn thế
chỉl à vừa đủ bao dung…

Đứng trong năm tháng này người phải tung đồng xu lên
rồi quay đi không cần biết sấp ngửa
chỉ là một thói quen của con người khi đang trong thương nhớ
bởi trong lòng luôn luôn có một kẽ hở
cho niềm tin…

Có quãng đời cố ghi nhớ mọi điều, có quãng đời dằn vặt bắt mình phải quên
người nhiều khi chỉ là một cơn mưa lầm lũi
làm ướt tất cả mọi người để sẻ chia phần yếu đuối
và giữ lại cho riêng mình một câu hỏi
-người không sợ cô đơn?

Người chỉ sợ không còn thấy niềm vui trên gương mặt mình ở trong gương
trong những đêm dài cuộn mình theo hơi thở
mỗi một vì sao ở ngoài kia là một linh hồn của nỗi nhớ
người có còn linh hồn nào cho điều đó
khi lòng đầy những hoang mang!...

Sau những tiếng nói, nụ cười là một con người của bình an?",Sinh ra để cô đơn (2014),https://www.thivien.net/Nguy%E1%BB%85n-Phong-Vi%E1%BB%87t/Sau-nh%E1%BB%AFng-ti%E1%BA%BFng-n%C3%B3i-n%E1%BB%A5-c%C6%B0%E1%BB%9Di/poem-wJgj3bP1C22FjqAX2R645A,Nguyễn Phong Việt
Sao không có ai đó nói với người về những nỗi đau,"Sao không có ai đó nói với người về những nỗi đau tận cùng
rồi một cái nắm tay sẽ xoá hết cả quãng đời mệt mỏi với yêu thương

Người đã đi được bao xa trong thế giới người hằng tin
mà thật ra chỉ đầy những ảo tưởng
ai cũng nghĩ hiểu được người lúc đang cười lẫn quay đi đau đớn
ai cũng cho rằng mình đang bao dung để người được sống
ai cũng nhìn người như nhìn một nỗi mặc cảm
của cuộc đời ngoài kia…

Người không là gì nhưng người vẫn có giá trị hơn một cơn mưa
chỉ đủ ồn ào trong thoáng chốc
có thể cay nghiệt bao nhiêu lần thì trong trái tim ấy vẫn là khoảng không cần che lấp
như một bức tường rêu ngang tàng giữa tháng ngày nắng gắt
rồi ngoan hiền lúc mây xám về qua…

Đôi khi những giấc mơ kể câu chuyện mà ở đó người ở trong một căn nhà
sống cuộc đời thật bình yên như một thứ ly tách
bình yên đến mức không cần ai chạm vào mà vẫn thấy mình đầy cảm xúc
dù năm tháng có dài bao nhiêu bên ngoài tủ kính
vẫn nghĩ lòng mình vui…

Nhưng cuộc đời này rất rất khác những giấc mơ xa xôi
chỉ có người thấy thương cho mình nhất
sau những giấc ngủ thật dài rồi mở mắt ra biết rằng phải cần sống tiếp
người dù có muốn hay không cũng không thể nào như một giọt sương sớm
sống và chết từng giờ…

Sao không có ai đó nói với người về những nỗi đau
là không kết thúc bao giờ?",Sinh ra để cô đơn (2014),https://www.thivien.net/Nguy%E1%BB%85n-Phong-Vi%E1%BB%87t/Sao-kh%C3%B4ng-c%C3%B3-ai-%C4%91%C3%B3-n%C3%B3i-v%E1%BB%9Bi-ng%C6%B0%E1%BB%9Di-v%E1%BB%81-nh%E1%BB%AFng-n%E1%BB%97i-%C4%91au/poem-UCbqgp_VYEm9mICaXeVZ2Q,Nguyễn Phong Việt
Dù sau ngày tháng này chúng ta có trở thành ra sao,"Dù sau ngày tháng này chúng ta có trở thành ra sao
thì cô đơn ấy cũng đã bắt đầu…

Có những yêu thương chỉ là phép thử cho một nỗi đau
mà con người ta ngày ngày lẩn tránh
cứ nghĩ mình sẽ vui khi đủ chăn cho một ngày trở lạnh
nhưng trái tim có đắp bao nhiêu ấm êm cũng đã không còn nguyên vẹn
với cuộc đời…

Đã thử hỏi chúng ta sống có gì vui
khi những giấc mơ chết dần theo năm tháng
chúng ta cười thật nhiều nhưng chỉ là để quên đi nước mắt
dường như ai cũng đang sống giùm cho người khác
và không mấy ai nhận ra?

Mỗi một con đường đều có riêng những giông bão xót xa
chúng ta có cố gắng đến bao nhiêu vẫn không thể biết trước
trên bàn tay này chỉ là những đường vân tay từ vô thức
không còn gì là chắc chắn
từ phía con người…

Sẽ là tận cùng rồi người sẽ lại tin mình hết lẻ loi
như một vòng lặp kéo dài đến vô tận
chúng ta liệu có đủ thời gian cho kiếp này để yêu thương và hờn giận
hay chỉ là trả nợ được phần nào đó của định mệnh
thuộc về giây phút trước khi mình chào đời…

Dù sau ngày tháng này chúng ta có trở thành ra sao
thì cô đơn ấy cũng đã đâm chồi…",Sinh ra để cô đơn (2014),https://www.thivien.net/Nguy%E1%BB%85n-Phong-Vi%E1%BB%87t/D%C3%B9-sau-ng%C3%A0y-th%C3%A1ng-n%C3%A0y-ch%C3%BAng-ta-c%C3%B3-tr%E1%BB%9F-th%C3%A0nh-ra-sao/poem-xMcINDGq1GW8LD0zn8RUlA,Nguyễn Phong Việt
Một giây phút,"Một giây phút mà cả cuộc đời này có thể người không tin được
xa lạ với một thứ yêu thương đã ngỡ là vĩnh viễn
khi đối diện nhau…

Không còn một chút day dứt nào giống như từng có một nỗi đau
cứa một đường từ trái tim lên ánh mắt
cứ nghĩ mình sẽ mang theo đáy lòng một hạt cát
ngày qua ngày ngơ ngác…
đến cuối đời…

Chẳng thể nghĩ sẽ có một giây phút không biết nên gọi là niềm vui
cười thản nhiên với con người là đại dương ngày đó
điều duy nhất ở trong lòng thật sự muốn bày tỏ
- tại sao đến cuối cùng mọi thứ đều chỉ như cơn gió
cứ thế rồi đi qua…

Năm tháng ấy của người không thể lấy lại và cũng đã ở quá xa
yêu thương lớn lên để trở thành chai sạn
có những giấc mơ hôm nay bình yên nhưng ngày mai sẽ khác
đôi khi được làm người mất mát
lại dễ chịu vô cùng…

Vì chẳng cần phải gồng gánh những câu nói bao dung
làm một người bình thường có tiếng cười và nước mắt
đâu phải lúc nào trong cuộc đời mình cũng là người tốt
thậm chí cố tình với đôi điều độc ác
người đã từng…

Một giây phút người thấy mình với yêu thương ấy lạnh lùng!...",Sinh ra để cô đơn (2014),https://www.thivien.net/Nguy%E1%BB%85n-Phong-Vi%E1%BB%87t/M%E1%BB%99t-gi%C3%A2y-ph%C3%BAt/poem--cRYFBuWB0K6uaXPotimag,Nguyễn Phong Việt
Như một tiếng chuông gió được rung lên,"Như một chiếc chuông gió treo lên một mái hiên nhà nào đó
chúng ta chờ một duyên may...

Một chiếc chuông gió đơn sơ giữa mưa nắng bầu trời này
được sinh ra cho những niềm vui bé mọn
có khi chỉ ao ước được lãng quên, được cuộc đời bỏ sót
không cần ai nhắc đến
ngoài những cơn gió về qua...

Dưới mái hiên nhà nào đó, chiếc chuông gió nhìn những tháng ngày bỏ mình đi thật xa
như đứa trẻ con lớn lên và biết rằng cuộc đời quá nhiều cay đắng
nên không dám bon chen hay học đòi sâu sắc
chỉ rung lên những thanh âm trong vắt
hoặc những thanh âm ngơ ngác
tuỳ vào lòng người...

Chiếc chuông gió thường được treo lên quá tầm với của những nụ cười
khoảng cách mà có khi cả đời chúng ta chỉ mong chạm tới
cái nét cười của một người có thể làm cho một người yếu đuối
người sống vì niềm tin nhưng người cũng chết vì một câu nói
- không phải ở cuộc đời này!

Bao nhiêu mơ ước lớn lao xin dành hết cho thế giới quanh đây
rồi đừng bắt ai sống cuộc đời mà mình mong muốn
những cơn gió chưa bao giờ sống cuộc đời chạy trốn
những cơn mưa cũng cứ rơi, từ bầu trời rơi xuống
không ai vội vàng hơn...

Khi một chiếc chuông gió được treo lên ở một mái hiên chật kín nỗi buồn
sẽ leng keng từng giấc mơ ấm cúng
mỗi ngày đi qua là một ngày trái tim rời xa phần giá buốt
những tiếng chuông gió theo cách nào đó sẽ nói hết
từng yêu thương...

Như một tiếng chuông gió được rung lên
chúng ta chờ tìm thấy một linh hồn...",Sinh ra để cô đơn (2014),https://www.thivien.net/Nguy%E1%BB%85n-Phong-Vi%E1%BB%87t/Nh%C6%B0-m%E1%BB%99t-ti%E1%BA%BFng-chu%C3%B4ng-gi%C3%B3-%C4%91%C6%B0%E1%BB%A3c-rung-l%C3%AAn/poem-jf-C_3R7SJGOzedt_ZZbwA,Nguyễn Phong Việt
Để mùa Giáng sinh còn lại chút hơi ấm,"Sẽ phải mất bao lâu để đi hết mùa Giáng sinh này
đi một mình với những loay hoay…

Những thanh âm ở ngoài kia cứ vang lên từng ngày
lặp lại từng chuỗi dài của thương nhớ
cuộc sống vẫn trôi đi dù có qua bao nhiêu vụn vỡ
người chỉ là một phần không khác gì cơn gió
giữa bầu trời…

Khi nắm được một thứ gì đó người chưa bao giờ nghĩ đến một lần sẽ đánh rơi
chỉ thấy mình cười trong từng khoảnh khắc
những ngọn đèn sáng lên không phải để cho người ta thấy mình vào lúc tắt
yêu thương sinh ra không phải để trái tim ngoảnh mặt
như chưa hề đập nhịp cùng nhau…

Mùa Giáng sinh này hay những mùa Giáng sinh sau
người lớn lên và lòng tin bé dần lại
đến ký ức cũng chẳng nào giữ trong đầu mình mãi mãi
rồi sẽ đến một ngày người không cần bỏ chạy
vì đã quen…

Hơi lạnh bắt đầu trên những nếp áo và khăn
nhưng người sợ mình đã thôi biết mình cần che chắn
tuyệt vọng nhất của yêu thương là làm nỗi đau lành lặn
trở thành một mặt hồ phẳng lặng
sau tháng ngày bão lên…

Sẽ có lẻ loi trong những thứ hạnh phúc vô hình
người còn giữ cho mình chút bao dung sau nước mắt
để nghe một tiếng chuông ngân từ đêm vẫn mỉm cười với đêm trắng
một nguyện cầu dành riêng cho cay đắng
đừng làm người quá nhẫn tâm…

Để mùa Giáng sinh có buồn hay vui đều còn lại chút hơi ấm ở trong lòng!",Sinh ra để cô đơn (2014),https://www.thivien.net/Nguy%E1%BB%85n-Phong-Vi%E1%BB%87t/%C4%90%E1%BB%83-m%C3%B9a-Gi%C3%A1ng-sinh-c%C3%B2n-l%E1%BA%A1i-ch%C3%BAt-h%C6%A1i-%E1%BA%A5m/poem-egM9xhtydvV-zpY4kkN6Tg,Nguyễn Phong Việt
Những buổi sáng người nhìn mình ở trước gương,"Những buổi sáng người nhìn mình ở trước gương
nhìn như nhìn một cuộc đời thật bình thường…

Một cuộc đời từng nghĩ về nắng ấm vẫn luôn ở trong tim
dù ngoài kia tuyết ngập trời buốt giá
tin rằng ở đâu đó sẽ có một người chờ được nắm tay để tạm biệt một quãng đường xa lạ
một người có thể hiểu được tất cả
từng buồn vui…

Những buổi sáng người nhìn mình với một nụ cười
khi ở trong gương là biết bao điều mơ ước
ấu thơ ấy đã vun xới cho một ngày nào đó khôn lớn
nhưng một ngày nào đó giờ là một ngày không còn gì khao khát
biết làm sao…

Người xắn tay áo, vuốt tóc rồi tự nói với mình một câu chào
dù lát nữa đây có gặp ai nói với ai cũng không cần vội vã
chọn cho mình một yêu thương và quên đi những mặc cả
chỉ yêu thương bản thân và đừng cho đi nhiều quá
rồi đớn đau…

Những buổi sáng sẽ khiến người hay nhớ những đêm thâu
cứ mơ một sớm mai trái tim mình thức dậy
không nói không cười nhưng bình yên ấy đã tìm thấy
một con người ở cạnh bên che đi nỗi sợ hãi
vẫn hằng mang…

Những buổi sáng người nhìn mình ở trước gương
nhìn như nhìn một yêu dấu đã không còn…",Sinh ra để cô đơn (2014),https://www.thivien.net/Nguy%E1%BB%85n-Phong-Vi%E1%BB%87t/Nh%E1%BB%AFng-bu%E1%BB%95i-s%C3%A1ng-ng%C6%B0%E1%BB%9Di-nh%C3%ACn-m%C3%ACnh-%E1%BB%9F-tr%C6%B0%E1%BB%9Bc-g%C6%B0%C6%A1ng/poem-IC5F-RmVFa86KJjFScOnww,Nguyễn Phong Việt
Con xin lỗi,"Vì có lẽ hết kiếp này con cũng không thể trả nổi
những âu lo từ ngày con chào đời.

Những đau đớn con trải qua cho mình, con biết chỉ là hạt cát nhỏ nhoi
mà đã lấy đi bao nhiêu là nước mắt
con oán hận mình nhưng quên đi ở đâu đó còn yêu thương chờ được nắm chặt
con cứ nghĩ mình đang phải ngơ ngác
giữa cuộc đời...

Có lẽ kiếp này con chỉ ước được sống cho mình mà thôi
một sinh mệnh mà khi sinh ra con từng hoài nghi chỉ là cơn gió
không tin vào đâu và không tin vào ai trong bầu trời quá nhiều đổ vỡ
con từng cầu xin mình làm ơn chỉ cần cho con giữ lại được hơi thở
trong tháng ngày tựa vào hoang mang...

Con đã ghét mình, đã chán ghét mình khi nhìn thấy đời mình cháy theo một ngọn nến tàn
giúp ánh sáng cho bóng tối nhưng không giúp được gì cho trái tim mình thắp sáng
nên con đã giật mình khi có một người đưa tay và che chắn
con hiểu mình cần ích kỷ với cuộc đời để còn biết thương mình nhiều nhất
vì mình mà vui...

Con xin lỗi vì năm tháng con được làm người
chỉ nhìn thấy buồn vui của mình hơn tất cả
những nửa đêm con về đều sót lại trong lòng vết thương hay sỏi đá
con biết đôi khi mình đã đi xa quá
để có thể quay về...

Con xin lỗi
vì có lẽ kiếp này con cũng không thể trả hết được
dù chỉ một hơi ấm của ngày bé thơ...",Sinh ra để cô đơn (2014),https://www.thivien.net/Nguy%E1%BB%85n-Phong-Vi%E1%BB%87t/Con-xin-l%E1%BB%97i/poem-HFl2MMB_FnToFcVfDLsZ5w,Nguyễn Phong Việt
Về đâu những vết thương,"Về đâu những vết thương
khi chúng ta chỉ mong muốn sống một cuộc đời bình thường

Một cuộc đời mà chỉ cần đi cạnh nhau trên cùng một con đường
nghe lòng mình tựa vào nhau ấm áp
nắng sớm hay mưa khuya đều mỉm cười thanh thoát
chuyện gì cũng có thể quên hết
ngoài niềm thương...

Chúng ta ngồi ở đâu đó và nói về nỗi buồn
rồi người này người kia lau cho nhau nước mắt
ai cũng phải đánh đổi điều gì đó để đạt được điều mình tha thiết
nha là rong rêu trong dòng nước
nhìn thấy mất mát từ cằn khô...

Những năm tháng còn lại chúng ta dành cho những bữa cơm với chén đũa xếp cạnh vui đùa
mình chỉ lo mình giành nhau cười nói
uống một tách café trong một đêm nào rồi thức trắng đêm nông nổi
yêu thương cả tiếng thở mình thở ra vào ngày yếu đuối
sao thế giới này cô đơn quá đỗi
ngay cả khi mình có nhau...

Có những lúc biết rằng chúng ta nhường nhịn từng nỗi đau
lần trở bệnh úp mặt vào người này người kia rồi ngủ vùi không hay biết
chúng ta chẳng còn nói giá như... vì ngày mai cuối cùng cũng phải đến
sẽ được làm cùng nhau những gì để không còn hối tiếc
mình có nhiều thật nhiều thời gian phía trước
mình có một ngôi nhà...

Chỉ cần đi cạnh nhau trên cùng một con đường thì dù có bao xa
trong lòng vẫn hoài tin rồi sẽ đến
chúng ta trở thành những đứa trẻ con suốt đời mong làm người lớn
không bao giờ chạy trốn
nếu đó là yêu thương...

Sống một cuộc đời bình thường
thì còn đâu những vết thương?",Sống một cuộc đời bình thường (2015),https://www.thivien.net/Nguy%E1%BB%85n-Phong-Vi%E1%BB%87t/V%E1%BB%81-%C4%91%C3%A2u-nh%E1%BB%AFng-v%E1%BA%BFt-th%C6%B0%C6%A1ng/poem-P7tsUXBhBPDPsj_XhG-Idg,Nguyễn Phong Việt
Rồi mình sẽ ngồi xuống đây để ăn cùng nhau,"Rồi mình sẽ ngồi xuống bên chén đũa này
để bắt đầu lựa chọn buồn vui trên những ngón tay

Cứ bình thường thôi mình xới cơm và ăn như vẫn từng ăn bao ngày
nhưng trong lòng biết rằng cần chậm rãi
những nỗi niềm giản đơn sẽ có thời gian để đơm hoa kết trái
mình cười nói
mình vui…

Có những món ăn mình chỉ dành nấu cho ai đó một đời
ngay cả khi mình không thích ăn vẫn bình yên gắp giúp
lo toan cho một cái nhìn đôi khi còn nhiều hơn tháng ngày không biết tin vào đâu mà sống
một bữa cơm cũng là hạnh phúc
nhưng có bao người nhận được ra?

Mình ngồi xuống và trả thế giới về lại bên ngoài kia
rốt cuộc đã đi tìm bao nhiêu ước mơ từ thơ bé
con người càng đớn đau thì lại càng muốn làm đứa trẻ
đợi một người xới cho mình chén cơm sau một ngày dài mệt lả
và cắm cúi ăn…

Vì biết dù như thế nào mình cũng nhận lấy những ân cần
từ người dọn cho mình bữa cơm tự tay nấu
không chỉ là yêu thương hay hiểu thấu
mà là sẵn một bản năng nhân hậu
với duy nhất một con người…

Rồi mình sẽ ngồi xuống đây để ăn cùng nhau
từng ngày…
cho đến hết cuộc đời…",Sống một cuộc đời bình thường (2015),https://www.thivien.net/Nguy%E1%BB%85n-Phong-Vi%E1%BB%87t/R%E1%BB%93i-m%C3%ACnh-s%E1%BA%BD-ng%E1%BB%93i-xu%E1%BB%91ng-%C4%91%C3%A2y-%C4%91%E1%BB%83-%C4%83n-c%C3%B9ng-nhau/poem-PzJ5QmW3k1-bfeZKl108bw,Nguyễn Phong Việt
Tại sao phải sống như một con người,"Tại sao phải sống như một con người
nếu trong lòng chẳng mấy khi tìm thấy niềm vui

Những mỏi mong chỉ mang lại được đôi lần tiếng cười
rồi mãi mãi là ánh nhìn chua xót
người cứ đi trên hành trình mà từ lúc bắt đầu đã biết mình cần chạy trốn
ai cũng có một người chờ đón
nhưng không ai muốn đổi thay...

Nói là bao dung nhưng con người thật ra luôn mặc cho lòng mình loay hoay
giữa đớn đau và phần nhiều cay đắng
tự biến mình thành một thứ gì đó cằn khô như cát
nghe tiếng mưa rơi từ những vùng đất
chưa bao giờ có dấu chân qua...

Người chỉ là một chiếc lá nên không ước gì trải nghiệm phong ba
để lẻ loi buốt trên từng sợi tóc
làm một con người thôi mà quá nhiều lần khóc
và lần đau đớn nhất
hoá ra chỉ có thể cười...

Tại sao phải cố gắng sống như một con người
nếu trong tim chỉ muốn tự do như sóng biển...

Yêu thương là lý do đầu tiên để con người đến
và lãng quên là lý do đầu tiên để con người đi...

Tại sao phải sống như một con người chưa hề biết thương nhớ là gì?",Sống một cuộc đời bình thường (2015),https://www.thivien.net/Nguy%E1%BB%85n-Phong-Vi%E1%BB%87t/T%E1%BA%A1i-sao-ph%E1%BA%A3i-s%E1%BB%91ng-nh%C6%B0-m%E1%BB%99t-con-ng%C6%B0%E1%BB%9Di/poem-y2ez-mrdP1w5wdDHrzQH2A,Nguyễn Phong Việt
Những mùa yêu dấu tan theo...,"Có những quãng đời đã bắt chúng ta phải sống rất chông chênh
khi yêu dấu ấy vừa không còn…

Chúng ta mở cánh cửa ra và nhìn thấy buổi sáng trên những con đường
mà bàn chân người giờ đi về một hướng khác
lòng cứ cầu mong ngày hôm qua vẫn chưa bao giờ đến
mình vẫn nắm bàn tay như giờ này, ngày này, tháng trước…
lòng vẫn ở cạnh nhau…

Những mùa yêu dấu đã vui lúc chúng ta bắt đầu
nhìn thấy giọt mồ hôi của người kia theo vành tai rơi xuống
lấy tay mình lau như lau một yêu thương vô tình để bụi bám
chúng ta từ những người ngơ ngác
thành những người bình yên…

Những mùa yêu dấu đó đã được đặt tên
bằng linh cảm của đêm mùa đông hay ngày mùa hè trở gió
giấc mơ cuối cùng là mơ về một khoảnh khắc dừng mãi mãi vào phút giây thương nhớ
chúng ta làm tuyết rơi mà không cần đến bầu trời nâng đỡ
được sống bên ngoài cuộc đời...

Khi yêu dấu ấy không còn chúng ta biết mình đánh mất vĩnh viễn nụ cười
giờ buồn vui đều quay đi im tiếng
mỗi ngày mai sẽ giống nhau vì bình minh hay hoàng hôn đều mất đi hạnh phúc
chỉ còn lại duy nhất khoảng trống nơi lồng ngực
đến mình cũng không muốn chạm tay...

Những mùa yêu dấu đã tan theo một hình hài...",Sống một cuộc đời bình thường (2015),https://www.thivien.net/Nguy%E1%BB%85n-Phong-Vi%E1%BB%87t/Nh%E1%BB%AFng-m%C3%B9a-y%C3%AAu-d%E1%BA%A5u-tan-theo/poem-I6YkoOjcxM1n0xkYpzmCdA,Nguyễn Phong Việt
Nhìn một con người từ phía sau,"Nhìn một con người từ phía sau
rồi để cho thương nhớ ấy cuộn vào...

Cứ lặng thầm như một vì sao loé sáng giữa thế giới nhiệm màu
không cần biết có bao nhiêu người nhìn thấy
cố lấp đầy từng đêm bằng giấc mơ nhưng sáng ra lòng vẫn một trời trống trải
ước gì ai đó đừng đi mãi
ước gì...

Dù khó khăn đến thế nào cũng sẽ không một chút hoài nghi
mất mát đến cuối cùng vẫn chỉ là mất mát
chỉ sợ điều mình tin một ngày kia vỡ ra như hạt cát
mình sẽ cười cho đến khi cạn nước mắt
cho lẽ sống duy nhất có ý nghĩa trong đời...

Làm ơn hãy để nắng hay mưa cho câu chuyện của bầu trời
lo lắng trái tim mình đang từng ngày nhìn xuống
yêu một con người mà sao bất cứ giấc mơ nào cũng hoảng hốt
sợ một mai kia mình chết
sợ một mai kia...

Người mà mình nhìn từ phía sau có ngoảnh lại và biết có một người đã từng chờ
một người không màng yêu thương được đền đáp
một người ngay từ đầu đã nghĩ mình như tờ giấy nháp
một người tin rằng tâm hồn của mình là màu xám
chờ một bàn tay đến vẽ lên bảng màu tươi sáng hơn...

Nhìn một con người từ phía sau
và biết yêu thương đó luôn ám ảnh bởi nỗi buồn...",Sống một cuộc đời bình thường (2015),https://www.thivien.net/Nguy%E1%BB%85n-Phong-Vi%E1%BB%87t/Nh%C3%ACn-m%E1%BB%99t-con-ng%C6%B0%E1%BB%9Di-t%E1%BB%AB-ph%C3%ADa-sau/poem-AIti-oG_JO3Qd0CTX44I0w,Nguyễn Phong Việt
Mùi hương,"Chúng ta luôn sợ hãi những điều bình thường
như khi rơi nước mắt vì một mùi hương…

người ngồi đó với khoảng cách có thể chạm tới được cả nỗi buồn
trên đôi bàn tay là tháng ngày che giấu
không muốn ai nhìn thấy mình ở phía bên kia của vai áo
mong manh và cần nương náu
đến từng phút từng giây…

Mùi hương của người phủ kín hết ký ức chúng ta đã có ở đây
làm sao mất được nếu đã là thương nhớ
dù đi đến tận cuối chân trời thì mùi hương vẫn âm thầm từ đâu đó
mang trong mình một cơn gió
hong khô tóc người hàng đêm…

Vì cuộc đời còn quá nhiều khó khăn nên chúng ta chỉ có thể lặng im
biết cắn răng nghe trong lòng mình sóng biển
chúng ta cười với nhau mà trái tim chẳng thể nào nói hết
từng niềm vui và nỗi buồn chia sớt
theo ánh nhìn…

Mùi hương này không phải là thứ thuộc về lãng quên
nhắm mắt rồi vẽ nên gương mặt ấy
người có biết người gần đến mức nào trong giấc mơ ở căn phòng nào đấy
hãy để những xót xa có cơ hội bỏ chạy
khỏi cuộc đời mình…

Bởi yêu thương kia đã luôn có mùi hương sẵn trong lòng để hồi sinh…",Sống một cuộc đời bình thường (2015),https://www.thivien.net/Nguy%E1%BB%85n-Phong-Vi%E1%BB%87t/M%C3%B9i-h%C6%B0%C6%A1ng/poem--B_0TjFHCl-cljiwSVxemA,Nguyễn Phong Việt
Trong những đêm khuya ai đó rót cho mình một ly nước,"Trong những đêm khuya ai đó rót cho mình
một ly nước
để rồi thức dậy và uống
rồi ngủ vùi...

Một người lặng lẽ rót cho mình ly nước mà
không nói một lời
dù ngoài kia là gió là mưa hay bão tuyết
lòng đã từng hoài nghi trong bình yên lẫn kiệt cùng đau đớn
mỗi trái tim đều ít nhất một lần chạy trốn
trước khi tới được nơi đây...

Nơi mà mình lặng lẽ rót ly nước không chỉ
bằng đôi tay
đi đến bao xa con người ta rốt cuộc cũng chờ mong một điểm đến
được nhìn ngắm một người ngủ yên trong gối chăn
tha thiết
một người mà mình có thể mỉm cười trong nước mắt
khi cần thứ tha...

Mình uống một ly nước và ngủ lại giấc ngủ vừa mới
rời xa
như giấc mơ ngừng lại trong khoảnh khắc
có những lúc con người vững tin dù là ở đâu trên
mặt đất
ngay cả khi mình không còn đôi mắt
vẫn sẽ có một người nắm chặt tay...

Vì điều khó khăn nhất để một người thức dậy giữa khuya rót một ly nước đầy...
là biết mình chỉ cần một con người như thế
một con người hiểu được vết thương nào cũng đong đầy một câu chuyện kể
không ai mong mình đớn đau trong từng thương nhớ
dù là đã đi qua...

Rót đầy một ly nước rồi mong sáng mai mình không còn nghĩ gì nữa về ngày hôm qua
chỉ là đủ yêu thương cho mỗi ngày đang sống
bàn chân hay bàn tay từ nay cũng không cần quá rộng
cần vừa một lần nắm
và những lần cùng đứng lên...

Trong những đêm khuya nếu có ai đó rót một ly nước cho mình
hãy giữ trái tim người đó ở lại...",Sống một cuộc đời bình thường (2015),https://www.thivien.net/Nguy%E1%BB%85n-Phong-Vi%E1%BB%87t/Trong-nh%E1%BB%AFng-%C4%91%C3%AAm-khuya-ai-%C4%91%C3%B3-r%C3%B3t-cho-m%C3%ACnh-m%E1%BB%99t-ly-n%C6%B0%E1%BB%9Bc/poem-bTlSUVMybQM8W3oln0AsLw,Nguyễn Phong Việt
Lau nước mắt đi,"Thôi ngồi xuống và lau nước mắt đi
yêu thương ấy có là gì…

Đến cuối cùng mình đã không được chọn như mình vẫn hoài nghi
dù bất chấp bao nhiêu là cay đắng
vì một con người để mình làm một con người khác
sẽ không ai có thể nói được hết
như thế nào mới vừa với bao dung…

Thế giới này vốn chỉ thuộc về những con người dửng dưng
mỗi con đường đều chuẩn bị cho một ngã rẽ
mình cứ tưởng trong tháng năm dài của tuổi trẻ
không bao giờ phải dừng lại cả
lúc đã nắm chặt tay…

Nên nước mắt không chỉ nhiều mà là quá nhiều cho hôm nay
bỏ rơi mình trong khi người cần thêm ngày để sống
ai cũng sợ nỗi đau còn mình cứ giữ như giữ niềm hy vọng
đằng nào cũng cô độc
thà cô độc vì thương nhớ một con người…

Thà là mình chịu tất cả những điều này cho phần đời nào đó được yên vui
rồi sẽ không sao như từng đêm vẫn tự nhủ
một con người đi qua và trái tim mình biết cuộc đời này chẳng còn có thể đủ
từ đây những giấc ngủ
sẽ tràn ngập những giấc mơ…

Yêu thương ấy
vẫn đang sống từng giờ…",Sống một cuộc đời bình thường (2015),https://www.thivien.net/Nguy%E1%BB%85n-Phong-Vi%E1%BB%87t/Lau-n%C6%B0%E1%BB%9Bc-m%E1%BA%AFt-%C4%91i/poem-VaYi90HYNO60I6jygByKQA,Nguyễn Phong Việt
